epoch,train_loss,val_loss,learning_rate,train_time,val_time,head1,thorax1,abdomen1,forelegR1,forelegL1,midlegR1,midlegL1,hindlegR1,hindlegL1
0,,0.0052391835488379,9.999999747378752e-05,,,,,,,,,,,
0,0.0007545672706328332,0.0007070716819725931,9.999999747378752e-05,,,0.0004230246995575726,0.00042304396629333496,0.00033359500230289996,0.0009310494642704725,0.0010562969837337732,0.0012394469231367111,0.0005022878758609295,0.0004272384976502508,0.0014551219064742327
1,0.00030702969525009394,0.00032189584453590214,9.999999747378752e-05,41.51716613769531,1.0357367992401123,0.00022657036606688052,0.00013242069690022618,0.0001857328461483121,0.00018576705770101398,0.0003872720117215067,0.00030722375959157944,0.0003329933388158679,0.0005086724413558841,0.0004966146079823375
2,0.00013639102689921856,0.00019928556866943836,9.999999747378752e-05,40.94398498535156,0.9300374984741211,8.660380262881517e-05,8.34751408547163e-05,7.150103192543611e-05,0.00010337071580579504,0.00024583705817349255,0.00020296484581194818,3.756915248231962e-05,0.0002988340856973082,9.736322681419551e-05
3,7.41868861950934e-05,0.00016947856056503952,9.999999747378752e-05,41.62018585205078,1.0012154579162598,8.247166260844097e-05,8.669488306622952e-05,7.255156378960237e-05,4.571411045617424e-05,4.437282041180879e-05,5.3289058996597305e-05,7.696144166402519e-05,0.00014930970792192966,5.6316701375180855e-05
4,0.00016972074809018523,0.00017167274199891835,9.999999747378752e-05,42.53044509887695,0.9730687141418457,8.063097629928961e-05,5.672644329024479e-05,7.672681385884061e-05,2.5396398996235803e-05,0.00015944833285175264,5.489187969942577e-05,0.00013018168101552874,0.00041155374492518604,0.000531930651050061
5,5.809433423564769e-05,0.00014504256250802428,9.999999747378752e-05,42.638458251953125,0.9999229907989502,6.392440991476178e-05,5.439482265501283e-05,0.0001331804523942992,4.481555151869543e-05,2.8231414034962654e-05,0.00010285146709065884,2.7629210308077745e-05,4.028192051919177e-05,2.753971602942329e-05
6,0.00010366801870986819,0.0001898643240565434,9.999999747378752e-05,41.85589599609375,1.2440166473388672,0.00011995733075309545,9.306475112680346e-05,0.000207011224119924,4.9400332500226796e-05,7.670462946407497e-05,6.021456647431478e-05,0.00015095685375854373,0.00014641422603745013,2.928821777459234e-05
7,0.00010464451042935252,0.0001152156328316778,9.999999747378752e-05,42.45161056518555,1.0062363147735596,4.575696584652178e-05,2.300111373187974e-05,4.219357288093306e-05,3.2033749448601156e-05,1.5004450688138604e-05,0.00011564771557459608,0.00044560860260389745,5.1499693654477596e-05,0.00017105467850342393
8,4.1663875890662894e-05,0.00011217554128961638,9.999999747378752e-05,41.671119689941406,1.0191841125488281,2.695585681067314e-05,3.009600732184481e-05,8.830881415633485e-05,1.2848695405409671e-05,2.547363874327857e-05,1.643359792069532e-05,9.079123265109956e-05,1.8026210454991087e-05,6.604078225791454e-05
9,4.18031559092924e-05,0.00011009416630258784,9.999999747378752e-05,42.42829895019531,1.0008492469787598,5.172613964532502e-05,4.3766351154772565e-05,8.235939458245412e-05,3.007875602634158e-05,3.86385727324523e-05,1.751010313455481e-05,3.252489477745257e-05,5.7262557675130665e-05,2.2361595256370492e-05
10,4.4407912355381995e-05,0.00010746097541414201,9.999999747378752e-05,42.306705474853516,1.0059406757354736,4.871259079664014e-05,2.31863850785885e-05,9.920400771079585e-05,1.966367199202068e-05,0.00012368583702482283,3.393120277905837e-05,2.06552394956816e-05,1.5727500795037486e-05,1.4904721865605097e-05
11,5.0417478632880375e-05,0.00010968477727146819,9.999999747378752e-05,42.451358795166016,1.0132524967193604,4.1337327274959534e-05,2.961134487122763e-05,0.0001010353080346249,1.8830931367119774e-05,1.9711213099071756e-05,1.8544636986916885e-05,0.00015739283117000014,3.4941269404953346e-05,3.235245821997523e-05
