epoch,train_loss,val_loss,learning_rate,train_time,val_time,head1,thorax1,abdomen1,forelegR1,forelegL1,midlegR1,midlegL1,hindlegR1,hindlegL1
0,,0.005722837056964636,9.999999747378752e-05,,,,,,,,,,,
0,0.0007648224709555507,0.0007061456562951207,9.999999747378752e-05,,,0.00043083509081043303,0.00041979626985266805,0.0004452225402928889,0.0008978658588603139,0.0011316549498587847,0.0006728026201017201,0.0005618327995762229,0.0010265108430758119,0.0012968814698979259
1,0.0004272332589607686,0.00040440846350975335,9.999999747378752e-05,49.35253143310547,1.0436944961547852,0.0002122358127962798,0.0002015075006056577,0.0001957016356755048,0.0004244135052431375,0.0007628360763192177,0.00041602615965530276,0.00023968519235495478,0.0005187671631574631,0.0008739259210415184
2,0.00027656875317916274,0.000265028647845611,9.999999747378752e-05,49.996315002441406,1.1873693466186523,0.00016241120465565473,0.00016762221639510244,0.00013205994036979973,0.0006500858580693603,0.0006165426457300782,0.00021984755585435778,0.00021390397159848362,0.00022122990048956126,0.00010541510710027069
3,0.0001174897188320756,0.00018557142175268382,9.999999747378752e-05,49.17293930053711,0.8914661407470703,7.180309330578893e-05,6.574017606908455e-05,8.928676106734201e-05,0.00019337692356202751,9.388939361087978e-05,0.00010196969378739595,0.0001425048685632646,0.00022101172362454236,7.782478496665135e-05
4,8.101748244371265e-05,0.00016507472901139408,9.999999747378752e-05,49.2032585144043,0.939751386642456,9.12770046852529e-05,9.002519800560549e-05,9.841824066825211e-05,4.837711821892299e-05,6.256478081922978e-05,3.7453828554134816e-05,0.00010772550740512088,6.361307896440849e-05,0.00012970248644705862
5,0.00015588839596603066,0.0001458287297282368,9.999999747378752e-05,49.4687614440918,0.9305860996246338,0.00013850814139004797,7.45884608477354e-05,0.00016654166392982006,7.491069118259475e-05,0.0001958940556505695,0.00015445234021171927,0.0003518513112794608,0.0001274107926292345,0.00011883820116054267
6,0.00012947297364007682,0.0001446359237888828,9.999999747378752e-05,49.618873596191406,1.1707162857055664,8.1814025179483e-05,7.71956256357953e-05,7.704476593062282e-05,0.00010502669465495273,4.2372572352178395e-05,0.0003095041902270168,0.00014683970948681235,0.00025651039322838187,6.894863327033818e-05
7,5.591948502114974e-05,0.00014284606731962413,9.999999747378752e-05,50.068153381347656,1.017702341079712,0.00011541880667209625,3.761911648325622e-05,6.742637924617156e-05,4.171705950284377e-05,4.291518416721374e-05,5.888428495381959e-05,3.692491372930817e-05,5.326790414983407e-05,4.910167626803741e-05
8,0.00014509560423903167,0.00013004872016608715,9.999999747378752e-05,50.005714416503906,0.961348295211792,5.102734576212242e-05,5.696339576388709e-05,5.9642698033712804e-05,5.9682588471332565e-05,0.00029036420164629817,0.0003998938191216439,0.00016434727876912802,1.4103769899520557e-05,0.00020983527065254748
