epoch,train_loss,val_loss,learning_rate,train_time,val_time,head1,thorax1,abdomen1,forelegR1,forelegL1,midlegR1,midlegL1,hindlegR1,hindlegL1
0,,0.002837039530277252,9.999999747378752e-05,,,,,,,,,,,
0,0.0005487535381689668,0.0003850660868920386,9.999999747378752e-05,,,0.0004185505968052894,0.00017988105537369847,0.0003828683402389288,0.00032442976953461766,0.000880823761690408,0.0007408328237943351,0.00024931231746450067,0.0009033482638187706,0.0008587350021116436
1,0.00021370888862293214,0.00021357624791562557,9.999999747378752e-05,69.57452392578125,1.255420446395874,0.00015900000289548188,8.786144462646917e-05,8.520336996298283e-05,7.692493090871722e-05,0.0003830602508969605,0.00018230162095278502,0.0001994927879422903,0.0001326196506852284,0.0006169156986288726
2,0.0001860851771198213,0.00018241227371618152,9.999999747378752e-05,70.26517486572266,1.2654554843902588,9.480472363065928e-05,9.447948832530528e-05,8.097661338979378e-05,0.0003405354800634086,0.0005176677950657904,0.0001583986304467544,0.0001088592252926901,0.000221301888814196,5.774255623691715e-05
3,5.765590685768984e-05,0.00013392796972766519,9.999999747378752e-05,73.52678680419922,1.2639756202697754,7.761457527521998e-05,3.762276901397854e-05,8.104694279609248e-05,4.7030061978148296e-05,3.4292013879166916e-05,2.1218311303528026e-05,6.587850657524541e-05,0.0001299108989769593,2.4289045541081578e-05
4,4.3470663513289765e-05,0.00012431210780050606,9.999999747378752e-05,74.10071563720703,1.2731235027313232,5.444370617624372e-05,4.4570180762093514e-05,5.064526339992881e-05,1.8858638213714585e-05,1.9500506823533215e-05,1.3906597814639099e-05,4.033099321532063e-05,6.795612716814503e-05,8.102393621811643e-05
5,8.713678835192695e-05,0.00011206597264390439,9.999999747378752e-05,74.26251220703125,1.4927763938903809,6.593837315449491e-05,3.408761040191166e-05,0.00011998139962088317,3.0841092666378245e-05,9.774245700100437e-05,2.2496937162941322e-05,0.00028683568234555423,4.919516868540086e-05,7.711232319707051e-05
6,5.489269460667856e-05,0.00011408900172682479,9.999999747378752e-05,74.22371673583984,1.280149221420288,3.7126668757991865e-05,3.9763745007803664e-05,8.135572716128081e-05,8.705373329576105e-05,1.3643903912452515e-05,5.8751054893946275e-05,0.0001092186284950003,5.21959773323033e-05,1.492480714659905e-05
7,2.7322517780703492e-05,0.0001017465692711994,9.999999747378752e-05,74.20972442626953,1.270035982131958,4.7804758651182055e-05,2.922600288002286e-05,5.139148197486065e-05,1.0167030268348753e-05,5.985976895317435e-05,1.2343555681582075e-05,9.396210771228652e-06,1.5089473890839145e-05,1.0624352398735937e-05
8,3.8237594708334655e-05,0.00010040432243840769,9.999999747378752e-05,70.36378479003906,1.4943568706512451,3.484655826468952e-05,3.32220624841284e-05,5.690048055839725e-05,0.00010364282206865028,3.473561810096726e-05,1.0668741197150666e-05,1.4532308341586031e-05,1.0651944648998324e-05,4.493777305469848e-05
